X1,X2,Y
0.743,-1.96,1
0.202,1.03,1
0.162,-2.1,-1
-2.69,-1.82,-1
1.54,-0.604,1
-1.99,-1.83,-1
-1.08,-1.01,-1
-0.202,-1.37,-1
-0.339,-2,-1
1.86,-1.96,1
-2.42,1.22,1
-0.775,-2.64,-1
0.376,0.215,1
-0.0479,-1.22,1
-1.55,-0.845,-1
-1.82,-2.32,-1
-2.45,-2.6,-1
-2.45,0.23,-1
0.124,-2.36,-1
-1.08,0.742,1
1.89,-2.57,1
-1.34,0.185,-1
0.612,-2.35,1
-2.33,-1.4,-1
-1.12,-2.3,-1
-0.465,-0.0972,1
-0.155,-1.48,-1
-2.46,-2.06,-1
1.02,-2.62,1
0.848,-1.4,1
0.518,1.96,1
-0.697,-1.02,-1
0.809,-1.09,1
1.93,1.61,1
-0.127,-0.396,-1
-0.157,0.354,1
0.0477,0.25,-1
-1.66,-2.16,-1
-0.933,-0.538,-1
1.89,0.332,1
-0.492,2.56,1
-2.39,2.73,1
-2.59,-1.19,-1
-0.0575,0.91,1
-2.52,2.55,1
0.301,-0.929,1
-2.49,-1.35,-1
-1.1,-0.607,-1
-0.295,2.53,1
2.25,-1.24,1
2.28,-0.0917,1
-2.56,-1.82,-1
2.33,2.6,1
1.44,-0.2,1
2.2,-2.49,1
-1.8,-0.659,-1
0.579,-1.6,1
1.3,1.97,1
0.96,-0.233,1
0.183,-0.0676,-1
1.6,-1.65,1
0.23,-0.395,-1
0.00699,-0.234,-1
-0.0254,-0.152,-1
0.557,-0.13,1
2.58,-0.414,1
-1.06,0.271,1
-0.335,-0.317,-1
-2.54,-1.22,-1
-2.14,-0.304,-1
-0.433,-2.3,-1
-1.23,-2.71,-1
-0.267,-2.6,-1
-0.897,-1.09,-1
-0.183,2.2,1
-0.295,-2.25,-1
-0.969,-1.01,-1
-1.04,-0.243,1
-1.74,-0.52,-1
-0.824,1.39,1
1.43,-0.655,1
-2.51,2.41,1
-2.39,-2.66,-1
-2.01,0.203,-1
-2.73,-1.12,-1
-0.0167,2.11,1
1.39,-1.98,1
1.58,0.00298,1
-0.881,-0.965,-1
0.965,-1.41,1
-1.6,-1,-1
-2.28,-1.4,-1
0.696,-2.33,1
-0.402,-0.0961,-1
0.214,2.16,1
0.34,-2.08,1
0.0916,0.31,1
-2.53,-1.4,-1
0.156,-2.38,-1
-2.6,-1.2,-1
-1.05,-1.61,-1
-0.441,-1.85,-1
-2.69,-0.241,-1
-1.64,-1.68,-1
-2.71,0.911,1
1.12,0.0931,1
-0.824,-2.11,-1
1.94,1.69,1
1.31,-0.894,1
-1.56,1.36,1
-1.94,-0.879,-1
-0.115,-0.851,-1
2.44,-0.79,1
-0.164,2.3,1
-2.57,-2.04,-1
1.23,-1.41,1
-1.71,-2.67,-1
-2.46,0.175,-1
-1.94,0.205,1
0.102,-1.35,-1
0.13,-1.25,-1
