X1,X2,Y
0.739,0.708,-1
-0.241,-0.755,1
0.161,-0.374,-1
0.0424,0.713,1
0.433,-1.17,-1
3.04,-0.948,-1
-0.245,0.277,1
-1.93,0.198,-1
-0.0198,1.03,1
0.626,0.198,1
-1.54,0.736,-1
-0.504,-0.744,-1
-0.93,-1.15,1
0.491,0.637,-1
-0.189,0.317,1
0.158,-0.693,1
-1.74,1.66,-1
0.229,-0.159,1
-0.523,0.129,1
0.347,-2.62,-1
0.472,0.0306,1
0.167,-0.66,1
0.824,0.418,1
-0.413,-0.102,1
-0.871,0.589,-1
1.14,0.521,-1
0.669,0.758,-1
-0.54,0.356,1
-0.436,0.308,1
-0.547,0.55,1
0.594,1.12,-1
-0.338,0.392,1
-0.376,-0.187,1
-0.135,0.256,1
1.81,-0.331,-1
-0.103,0.154,1
-0.336,0.727,1
1.49,1.33,-1
-0.656,-2.24,-1
-0.432,0.213,1
-0.902,0.44,-1
-0.954,0.285,-1
-0.264,0.557,-1
-2.36,1.86,-1
-0.281,0.544,-1
2.63,0.0155,-1
1.62,-0.464,-1
0.513,0.233,1
0.00434,-0.142,1
0.783,-1.33,-1
-1.29,1.39,-1
0.329,0.284,1
-0.551,0.0151,-1
-0.731,-0.652,1
0.586,-1.52,-1
0.193,-2.2,-1
-0.631,-1.33,-1
0.278,0.0047,1
0.385,-1.62,-1
-1.68,-1.78,-1
0.535,0.301,1
0.266,-1.12,-1
-1.52,1.4,-1
0.703,-1.55,-1
2.33,-2.49,-1
0.163,0.337,1
0.217,-1.36,-1
0.127,-0.106,1
0.286,-0.446,-1
0.727,-0.709,-1
-0.65,0.455,1
0.488,0.42,1
-0.801,0.221,1
-0.543,0.447,1
0.473,0.507,1
2.57,-2.02,-1
0.547,2.23,-1
0.045,0.0386,-1
-0.992,1.57,-1
0.376,1.71,-1
-1.46,-1.17,-1
0.0211,0.0969,1
-1.34,0.523,-1
-0.139,0.636,1
0.0783,0.372,-1
-0.447,-0.838,1
-1.16,1,1
0.298,0.743,1
-0.0734,-0.781,1
-1.61,-1.67,-1
-3.4,0.969,-1
-1.35,0.42,-1
0.205,-0.944,-1
1.79,0.44,-1
-0.766,-0.0436,1
0.419,-0.71,-1
0.474,1.8,-1
0.627,1.56,-1
0.961,0.832,1
0.176,0.815,1
-0.768,0.0196,1
0.892,0.481,-1
-0.136,-1.05,1
0.0516,-1.77,-1
-0.309,0.416,1
-0.425,0.422,1
-0.384,0.973,1
0.524,-0.557,1
1.05,3.21,-1
-1.32,-0.244,1
-0.64,0.169,1
0.44,0.0977,1
0.0105,0.469,-1
-1.5,-1.43,-1
0.388,-0.27,1
0.754,0.507,1
-0.48,0.185,1
1.03,0.275,-1
-0.832,1.47,-1
1.55,0.0354,1
0.261,0.809,1
-0.228,-0.425,1
0.0784,-1.09,1
-0.425,-0.452,1
0.509,-0.256,1
-1.28,-0.725,-1
-0.786,1.74,-1
-0.509,-1.38,-1
0.362,0.2,1
1.08,-0.848,-1
-0.683,0.137,1
-0.0275,-0.0263,1
-0.236,0.177,1
0.047,-0.0913,1
-0.507,-3.44,-1
1.74,1.08,-1
-0.0835,3.27,-1
1.72,-0.755,-1
-0.795,-0.539,1
-0.577,0.262,1
0.0416,0.734,1
-0.596,0.15,1
0.288,-0.578,-1
-0.627,0.517,1
2.87,1.25,-1
0.949,-1.71,-1
0.305,0.75,1
1.24,0.211,-1
-0.144,0.292,1
-0.508,-0.696,1
-2.39,-0.418,-1
-1.19,1.7,-1
-0.239,1.18,-1
-3.15,-0.886,-1
-0.478,0.401,1
0.247,1.44,1
2.81,2.08,-1
-0.206,-1.36,1
0.295,-0.0331,1
-0.143,0.847,1
-1.53,-0.251,1
-2.93,-1.8,-1
0.203,0.501,1
-0.422,-1.18,-1
2.33,0.66,-1
1.32,1.57,-1
1.9,3.64,-1
1.06,1,-1
0.185,0.298,1
-0.0283,0.0122,-1
0.122,-1.14,1
0.605,0.35,1
0.443,1.16,-1
-0.772,-1.37,-1
0.301,0.577,1
0.814,-0.421,-1
-0.763,0.461,1
0.294,0.682,1
0.265,-0.19,1
0.24,0.115,1
-2.01,-0.557,-1
-0.314,-0.256,1
-0.135,-0.467,1
0.346,0.468,-1
-0.598,-0.583,-1
0.931,0.703,1
-0.541,0.303,1
-0.239,-0.19,1
-1.06,-2.1,-1
1.68,-2.73,-1
-0.174,0.319,-1
-0.829,0.422,1
0.276,-0.256,-1
-0.729,-0.418,-1
0.911,-2.66,-1
0.231,-0.716,1
-0.151,1.58,-1
0.519,-0.445,1
0.434,-1.81,-1
-0.0355,0.636,1
-0.932,0.871,1
0.363,-0.664,1
0.89,0.325,1
0.451,0.152,1
-0.0221,0.582,1
-1.62,-2.41,-1
-0.279,-0.0649,-1
-1.42,0.321,-1
0.988,1.37,-1
1.86,-0.234,-1
-0.233,-0.0704,1
-0.586,-0.121,-1
0.509,-0.0443,1
-0.00381,-2.01,-1
-1.3,2.77,-1
-0.64,-3.18,-1
-0.346,-1.73,-1
-0.368,0.228,1
1.98,1.67,-1
-2.4,2.48,-1
-2.35,2.43,-1
-0.446,-0.126,1
3.8,0.882,-1
2.66,0.381,-1
1.22,0.123,1
-0.171,-1.07,1
0.666,0.25,1
-0.351,2.41,-1
0.862,-0.495,1
-0.148,-0.655,1
1.34,-0.387,-1
0.175,-0.225,1
0.465,0.122,1
0.537,1.87,-1
-0.0802,-1.13,1
0.465,0.234,1
0.734,0.759,-1
1.17,1.72,-1
0.0539,-0.345,1
0.643,-0.219,1
