X1,X2,Y
2,1,-1
1,1,1
2,2,-1
2,2,1
2,2,-1
1,1,-1
1,1,-1
1,1,-1
2,2,-1
2,1,1
2,2,-1
1,1,1
2,2,-1
2,2,-1
2,1,-1
2,2,-1
1,1,-1
2,2,-1
2,1,-1
2,2,-1
2,2,-1
1,1,1
2,1,-1
1,1,1
2,1,-1
2,2,-1
2,2,-1
1,1,-1
2,2,-1
2,1,-1
1,2,-1
1,1,1
2,2,-1
2,1,-1
1,1,-1
1,2,-1
2,1,1
1,2,-1
1,1,1
2,1,-1
2,1,-1
2,2,-1
2,2,-1
2,1,-1
1,2,-1
1,2,-1
2,1,1
2,1,-1
2,2,-1
1,2,-1
2,1,-1
2,2,-1
2,2,-1
1,1,-1
2,1,-1
2,2,-1
2,1,-1
1,2,1
2,2,-1
1,2,1
1,2,1
2,1,1
1,1,-1
1,2,1
1,2,-1
2,1,-1
1,1,1
1,2,-1
2,1,-1
1,1,1
1,1,-1
2,1,-1
1,1,1
1,1,1
2,1,-1
2,1,-1
1,1,1
1,2,-1
1,2,-1
2,2,-1
2,2,-1
2,1,1
2,1,-1
1,2,-1
2,1,-1
2,1,-1
2,1,-1
2,1,-1
2,1,-1
2,2,-1
2,1,1
2,2,-1
2,2,-1
2,2,-1
1,2,1
2,2,-1
2,1,-1
2,2,-1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,-1
2,2,-1
1,1,-1
2,2,-1
2,2,1
1,2,-1
2,1,-1
2,2,-1
1,1,-1
2,2,-1
2,1,-1
2,1,-1
1,2,1
2,1,-1
2,1,-1
2,2,-1
2,1,-1
1,2,1
